Index,Spp_GUID,Status,SizeCl,AgeCl,Cover,Height,Comment,UV1,UV2,UV3,Index,Species
-2147483648,a7bf19df-35ed-4691-8ca5-4e4e2a426665,L,TO,,26,,,,,,-2147483648,QUKE
-2147483647,50b2af91-9399-4dda-82e5-6eb0f20b7b96,L,TO,,12.5,,,,,,-2147483647,PIJE
-2147483646,a7bf19df-35ed-4691-8ca5-4e4e2a426665,L,SA,,3.5,,,,,,-2147483646,QUKE
-2147483645,a7bf19df-35ed-4691-8ca5-4e4e2a426665,L,SE,,0.5,,,,,,-2147483645,QUKE
-2147483644,c9c46ddd-bcd1-4a5a-982f-6b14e01bea6a,L,MD,,0.5,,,,,,-2147483644,ERWR
-2147483643,c9c46ddd-bcd1-4a5a-982f-6b14e01bea6a,L,LW,,3,,,,,,-2147483643,ERWR
-2147483642,af962090-d204-4953-91c6-4a9cc7f1f9a5,L,LW,,0.5,,,,,,-2147483642,ERCO25
-2147483641,d38f3d01-7a24-4d88-9d92-50b20a0eeee8,L,NA,,5.5,,,,,,-2147483641,SOCA5
-2147483640,3559b98c-859b-4e69-beae-7dd890d73e10,L,NA,,0.5,,,,,,-2147483640,ARLU
-2147483639,e78cc19f-5c3b-40d0-afcc-55f43d726a65,L,NA,,0.5,,,,,,-2147483639,BRTE
