Index,Spp_GUID,Status,SizeCl,AgeCl,Cover,Height,Comment,UV1,UV2,UV3,Index,Species
-2147483648,a7bf19df-35ed-4691-8ca5-4e4e2a426665,L,TO,,65,,,,,,-2147483648,QUKE
-2147483647,a7bf19df-35ed-4691-8ca5-4e4e2a426665,L,SE,,0.5,,,,,,-2147483647,QUKE
-2147483646,a7bf19df-35ed-4691-8ca5-4e4e2a426665,D,TO,,0.5,,,,,,-2147483646,QUKE
-2147483645,50b2af91-9399-4dda-82e5-6eb0f20b7b96,L,TO,,3,,,,,,-2147483645,PIJE
-2147483644,50b2af91-9399-4dda-82e5-6eb0f20b7b96,L,SA,,1,,,,,,-2147483644,PIJE
-2147483643,50b2af91-9399-4dda-82e5-6eb0f20b7b96,L,SE,,0.5,,,,,,-2147483643,PIJE
-2147483642,7449ab7f-1acd-4716-8c5d-4f6bb348e4ff,L,LW,,12.5,,,,,,-2147483642,SYMO
-2147483641,8c05246c-bf5c-4d53-9d2f-8751829c726f,L,TL,,0.5,,,,,,-2147483641,CEPA
-2147483640,8c05246c-bf5c-4d53-9d2f-8751829c726f,L,MD,,0.5,,,,,,-2147483640,CEPA
-2147483639,8c05246c-bf5c-4d53-9d2f-8751829c726f,L,LW,,0.5,,,,,,-2147483639,CEPA
-2147483638,e78cc19f-5c3b-40d0-afcc-55f43d726a65,L,NA,,1,,,,,,-2147483638,BRTE
-2147483637,d38f3d01-7a24-4d88-9d92-50b20a0eeee8,L,NA,,0.5,,,,,,-2147483637,SOCA5
-2147483636,2da084e6-47e3-4e9a-b2f1-b5fe41c346ba,L,NA,,0.5,,,,,,-2147483636,THFE
