Index,Spp_GUID,Status,SizeCl,AgeCl,Cover,Height,Comment,UV1,UV2,UV3,Index,Species
-2147483648,a7bf19df-35ed-4691-8ca5-4e4e2a426665,L,TO,,12.5,,,,,,-2147483648,QUKE
-2147483647,a7bf19df-35ed-4691-8ca5-4e4e2a426665,L,SA,,0.5,,,,,,-2147483647,QUKE
-2147483646,a7bf19df-35ed-4691-8ca5-4e4e2a426665,L,SE,,0.5,,,,,,-2147483646,QUKE
-2147483645,50b2af91-9399-4dda-82e5-6eb0f20b7b96,D,TO,,3,,,,,,-2147483645,PIJE
-2147483644,50b2af91-9399-4dda-82e5-6eb0f20b7b96,L,TO,,12,,,,,,-2147483644,PIJE
-2147483643,c9c46ddd-bcd1-4a5a-982f-6b14e01bea6a,L,LW,,0.5,,,,,,-2147483643,ERWR
-2147483642,8c05246c-bf5c-4d53-9d2f-8751829c726f,L,MD,,0.5,,,,,,-2147483642,CEPA
-2147483641,64bea1ee-8552-4023-b18a-c4dac7c98c9d,L,MD,,0.5,,,,,,-2147483641,PRVID
-2147483640,3559b98c-859b-4e69-beae-7dd890d73e10,L,NA,,7,,,,,,-2147483640,ARLU
-2147483639,d38f3d01-7a24-4d88-9d92-50b20a0eeee8,L,NA,,5,,,,,,-2147483639,SOCA5
-2147483638,e78cc19f-5c3b-40d0-afcc-55f43d726a65,L,NA,,1,,,,,,-2147483638,BRTE
